nombre,estreno,duracion,descripcion,img,url
Big Hero 6,2014,103,"Cuando un giro inesperado de eventos los sumerge en el medio de un peligroso plan, un niño prodigio, su robot y sus amigos se convierten en héroes de alta tecnología en una misión para salvar su ciudad.",https://static.pelisfox.tv/static/movie/cover/original/620e7efdf56ec909a77e8ddc67a98820.jpg,http://www.boxofficemojo.com/movies/?id=disney2014.htm
How To Train Your Dragon,2010,98,"Hiccup es un joven Norse de la isla de Berk, en donde ser dragones luchadores es una forma de vida. Sus puntos de vista progresistas y su sentido del humor lo convierten en un inadaptado, a pesar de que su padre es el jefe del clan. En una escuela para dragones luchadores, él tiene que probarse a sí mismo como un verdadero vikingo, pero cuando hace amistad con un dragón herido al que nombra Toothless, tiene la oportunidad de crear un nuevo futuro para su gente.",https://www.fantasymundo.com/wp-content/uploads/2018/04/c%C3%B3mo-entrenar-a-tu-drag%C3%B3n-3.jpeg,http://www.boxofficemojo.com/movies/?id=howtotrainyourdragon.htm
Brave,2012,93,"Merida, la impetuosa y valiente hija de un rey escocés Fergus y de la reina Elinor, es una hábil arquera quien desea labrar su propio camino en la vida. Su desafío a una vieja tradición molesta a los señores y provoca un caos en el reino. Merida busca ayuda con una bruja excéntrica, que le concede un deseo malogrado. Ahora, Merida debe descubrir el significado del coraje y deshacer una maldición bestial antes de que sea tarde.",http://www.ninefiction.com/wp-content/uploads/2012/07/brave05.jpg,http://www.boxofficemojo.com/movies/?id=bearandthebow.htm
Atlantis: The Lost Empire,2001,95,El nieto de un aventurero se une a la actual expedición para encontrar la legendaria ciudad sumergida.,http://www.mundodisney.net/escritorio/atlantis/005g.jpg,http://www.boxofficemojo.com/movies/?id=atlantis.htm
Lilo & Stich,2002,85,Una niña solitaria adopta a un perro que en realidad es un extraterrestre travieso que se esconde de unos cazadores intergalácticos.,https://image.tmdb.org/t/p/original/u8vDwjzjKfWsMhAYjF9q6YZX1On.jpg,http://www.boxofficemojo.com/movies/?id=lilostitch.htm
Anastasia,1997,94,"Años después de haber perdido a su familia ante el malvado Rasputin, la hija del zar Nicolás consigue reunirse con su abuela en París.",http://dreamers.com/indices/imagenes/peliculas.1419.IMAGEN2.jpg,http://www.boxofficemojo.com/movies/?id=anastasia.htm
Tangled,2010,100,"Cuando Flynn Rider, el bandido más buscado del reino, se oculta en una cómoda torre, él es inmediatamente secuestrado por la antigua residente del edificio, Rapunzel. Coronada con un cabello dorado y mágico de 70 pies de longitud, Rapunzel ha estado encerrada durante años, y quiere su libertad desesperadamente. La festiva adolescente llega a un acuerdo con Flynn, y juntos preparan una intensa aventura.",http://bixbylibrary.org/wp-content/uploads/2018/02/tangled-full-movie.jpg,http://www.boxofficemojo.com/movies/?id=rapunzel.htm
Up,2009,96,"Carl Fredricksen es un vendedor de globos de 78 años de edad dispuesto a cumplir su sueño: atar miles de globos a su casa y volar a Sudamérica. Sin embargo, descubre demasiado tarde a un joven e inesperado polizón. Lo que en principio será recelo, acabará por tornarse simpatía hacia el muchacho mientras juntos pasan fascinantes aventuras en exóticos lugares.",https://static.rogerebert.com/uploads/review/primary_image/reviews/up-2009/hero_Up-2009.jpg,http://www.boxofficemojo.com/movies/?id=up.htm
Toy Story,1995,81,Lo mejor de la animación computarizada produce esta historia sobre juguetes que cobran vida cuando su dueño se ausenta.,https://m1.paperblog.com/i/21/219606/dduaac-toy-story-1995-toy-story-2-1999-L-1.jpeg,http://www.boxofficemojo.com/movies/?id=toystory.htm
Finding Nemo,2003,100,Un pez inicia un viaje en busca de su hijo (Alexander Gould) después de perderlo en la Gran Barrera de Coral.,http://es.web.img2.acsta.net/r_1920_1080/pictures/14/02/13/11/12/161391.jpg,http://www.boxofficemojo.com/movies/?id=findingnemo.htm